wallet,num_borrow,num_deposit,num_redeemunderlying,num_repay,total_borrow,total_deposit,total_redeemunderlying,total_repay,avg_tx_gap_sec,repay_borrow_ratio,total_transactions,activity_score,net_borrow,borrow_to_deposit_ratio,deposit_frequency,repay_frequency,repayment_efficiency,avg_repay_per_tx
0x00000000001accfa9cef68cf5371a23025b6d4b6,0,1,0,0,0.0,1987.6636548592714,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0x000000000051d07a4fb3bd10121a343d85818da6,0,1,0,0,0.0,285694480361492.7,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0x000000000096026fb41fc39f9875d164bd82e2dc,0,2,0,0,0.0,5152310624.158186,0.0,0.0,654405.0,0.0,2,3.0562066973713567e-06,0.0,0.0,3.0562066973713567e-06,0.0,0.0,0.0
0x0000000000e189dd664b9ab08a33c4839953852c,0,0,17,0,0.0,0.0,980360031666459.6,0.0,698369.9375,0.0,17,2.434236461908898e-05,0.0,0.0,0.0,0.0,0.0,0.0
0x0000000002032370b971dabd36d72f3e5a7bf1ee,15,250,130,4,6.029762086214078e+16,2.0657733084285222e+17,1.1287452027976197e+17,70150.26379074076,28843.251256281408,1.1634001937012773e-12,399,0.01383291236977801,6.029762086207063e+16,0.2918888564206034,0.008667238326928577,0.01,1.1634001937012773e-12,14030.052758148153
0x000000000a38444e0a6e37d3b630d7e855a7cb13,8,7,5,5,11631.431210321323,1.8390665686010516e+16,4617415427863044.0,11640.280239622172,141408.625,1.0007607859377612,25,0.00017679136055979216,-8.849029300848997,6.32463849265074e-13,4.9501580956741806e-05,0.19230769230769232,1.0006747539838348,1940.0467066036954
0x000000003853fcedcd0355fec98ca3192833f00b,0,8,0,0,0.0,76376315604.97202,0.0,0.0,97375.28571428571,0.0,8,8.215552627949897e-05,0.0,0.0,8.215552627949897e-05,0.0,0.0,0.0
0x000000003ce0cf2c037493b1dc087204bd7f713e,30,309,137,16,1.324157609026383e+17,4.5858619827629075e+17,2.995389076276758e+17,339812873060944.7,21732.24032586558,0.0025662569979928583,492,0.022638133689362995,1.3207594802957736e+17,0.28874781099029057,0.014217852256124321,0.032454361054766734,0.0025662569979928583,19988992532996.746
0x000000007858e6f2668e1e06111cfa24403a5466,0,1,0,0,0.0,142160666481.45407,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0x00000001a0f57e850c9db68b4a9bc34677437c5c,0,1,0,0,0.0,1.7666525037857388,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0x0000000506063a51c6ce59906d8c40f7d7fe92a7,24,26,10,9,5.975019617796154e+17,7.999916941682948e+17,8.010729370227364e+17,5.975686798284461e+17,38951.39705882353,1.0001116616397911,69,0.0017713929105775035,-66718048830720.0,0.7468852066030557,0.0006674813865944216,0.12857142857142856,1.0001116616397911,5.975686798284461e+16
